fpr,tpr,threshold,tag,artifact_source
0.0,0.0,inf,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.0,0.009346,0.833,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.025641,0.018692,0.818,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.025641,0.046729,0.8,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.051282,0.056075,0.778,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.051282,0.065421,0.773,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.051282,0.074766,0.769,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.051282,0.130841,0.75,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.051282,0.149533,0.737,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.051282,0.168224,0.722,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.051282,0.186916,0.72,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.076923,0.186916,0.714,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.076923,0.196262,0.708,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.076923,0.224299,0.7,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.076923,0.242991,0.692,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.076923,0.252336,0.684,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.076923,0.271028,0.682,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.076923,0.280374,0.679,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.076923,0.336449,0.667,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.076923,0.345794,0.658,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.076923,0.35514,0.654,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.076923,0.364486,0.65,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
