doc_id,filename,document_type,pages,segments,segments_retrievable,segments_dropped,bytes_scan,sha256_scan,archive_collection,archive_url,manuscript_ref,scan_file_mtime_utc,ocr_pdf_creator,bytes_ocr_pdf,sha256_ocr_pdf
a13-lm-aoh-v1-lm7-subs-300ppi,a13-lm-aoh-v1-lm7-subs-300ppi.pdf,operations handbook,844,789,776,13,670840987,1623f208023279cbe7de6aea14e95bd95fbc8c4e9d51791ff55e68ee04d338f2,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07,OCRmyPDF 17.11.0 / OCRmyPDF fpdf2 + Tesseract OCR 5.5.3,463993723,353fbe602e3781c6e218017e52e1685678303e6c5fc235bd12b3ff0fabdb79d2
a13-crew-inflight-checklists,a13-crew-inflight-checklists.pdf,checklist,365,365,354,11,198993797,7079e350a2b7d26260efb705b10264695131ea794542fc48b43ce33d7a14c4a4,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07,OCRmyPDF / Tesseract,317366269,30b35f8a2e53a58cd75015f631c9898dc96c2e8880d38a66444d01b206716788
a13-flightplan-final-19700316,a13-flightplan-final-19700316.pdf,flight plan,366,353,329,24,76115430,00cf8733821b66cd7a6cc895f6664d5f0de6feaf28ea9ced69e4fa14744f7fa8,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07,OCRmyPDF / Tesseract,76231705,1df76afc88f1b251d5d5ae84ba9be9dee57bb61903b3247312b3a75e79a68e7c
a13-post-retrieval-procs,a13-post-retrieval-procs.pdf,procedures,276,272,256,16,168418237,e8fc52d6633a932f34036787a7e7d06543e76ff5443263ef7980e117d79fe77f,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07,OCRmyPDF / Tesseract,160883576,280dacf646332c67c2d5de0c23651d64ba5998eed117364718a0ad848b1239f2
a13-lunar-surface-proc,a13-lunar-surface-proc.pdf,procedures,270,261,202,59,66417736,9d8dd6a8f0fe6a2f3816eb62bc63b3f85b05761d5a36f56591e46b02b455405d,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07,OCRmyPDF 16.13.0 / Tesseract OCR-hOCR 4.1.1,62008441,1e3b3c602b6e9ef407ef4f83331fec88cdaea6e9c3bbb23768576abdafa609df
a13-saturn-v-flight-manual,a13-saturn-v-flight-manual.pdf,flight manual,252,238,226,12,134200638,41c1055d3db03f8737e763fc9d37a89e95c795ef8a71fd7158e43302a0f926b6,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07,OCRmyPDF / Tesseract,128031412,6fa9cd561cff3daf28041acff365bf5a1237488786128568b0c8c7e69cf57cc5
72-a13-csm-g-c-checklist,72-a13-csm-g-c-checklist.pdf,checklist,160,150,141,9,30571918,c0366e78cb13fc3eec51eb0ace3fd9e95d811d6eebbbf51ae4a0aae49e27bdbf,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07,OCRmyPDF 16.13.0 / Tesseract OCR-hOCR 4.1.1,30228004,7da096d8ab6230f7c45bd5998c033d42bfd5cd5aed2babc80efc87a0cd343ab5
76-a13-g-n-dictionary,76-a13-g-n-dictionary.pdf,reference,146,138,132,6,38751097,1a6bf146e732437a703d046503d2550c805bc453f8e450d90e7e43008df26252,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07,OCRmyPDF 16.13.0 / Tesseract OCR-hOCR 4.1.1,38259572,a9dea29ed71051444bf1542f36c7879691c5e6ad127c69aa7fe650807123271e
70-a13-launch-checklist,70-a13-launch-checklist.pdf,checklist,132,120,108,12,45129461,4cee7c6cd6f400e736b690e06e86b79267b019848c253bb7343a970977e7e77b,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07,OCRmyPDF 16.13.0 / Tesseract OCR-hOCR 4.1.1,44197295,6854510300d29782ff214af2d8ac8de94486542505a2e1253e8a409d82cf0a01
a13-mission-rules,a13-mission-rules.pdf,mission rules,117,117,108,9,125384184,de03d7cad98612b4ad6cf14c68a0cc99ed1a7bbad055d35a3609ebea413c7d42,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07,OCRmyPDF / Tesseract,122228434,6b51bf4bc56e2b3a3e19aec99a32eb780c9013e6613adf8d26cd1978b621f551
